_id,active,createdDate,lastLogin,role,signUpSource,state
5ff36a3862fde912123a4460,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff370c562fde912123a5e0e,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff3711e62fde912123a620e,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff36be7135e7011bcb856d3,True,01-04-2021,01-04-2021,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff473e7c1e2d0121a9b2697,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff47392c3d63511e2a47881,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff47392c3d63511e2a47881,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce91c1e2d0121a9b3057,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff47392c3d63511e2a47881,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff47392c3d63511e2a47881,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce34c3d63511e2a484ba,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff4ce3ac1e2d0121a9b2fb3,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff47392c3d63511e2a47881,True,01-05-2021,01-05-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d1a38f142f11dd1886ba,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d1d08f142f11dd18884c,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff5d15aeb7c7d12096d91a2,True,01-06-2021,01-06-2021,consumer,Email,WI
5ff7264e8f142f11dd189504,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7401ceb7c7d31ca8a46e0,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff73bea8f142f3276c3e84a,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff74f3db3348b11c93361d1,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7264e8f142f11dd189504,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff73b90eb7c7d31ca8a452b,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7930fb3348b11c93372a6,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7268eeb7c7d12096da2a9,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7268eeb7c7d12096da2a9,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7264e8f142f11dd189504,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7930fb3348b11c93372a6,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff726a0eb7c7d12096da2db,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff793dd04929111f6e90c69,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7949eb3348b11c93373d2,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7268c8f142f11dd189579,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff73b90eb7c7d31ca8a452b,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff7264e8f142f11dd189504,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff616a68f142f11dd189163,True,01-06-2021,,consumer,Email,KY
5ff7930fb3348b11c93372a6,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff79464b3348b11c933738b,True,01-07-2021,01-07-2021,consumer,Email,WI
5ff8c241b3348b11c93379fc,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8ce8504929111f6e913cb,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8ce8504929111f6e913cb,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff873d1b3348b11c9337716,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff873ef04929111f6e910f0,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8c4e8b3348b11c9337a11,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff873d1b3348b11c9337716,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8da28b3348b11c9337ac6,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8da7db3348b11c9337b6a,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff873ddb3348b11c9337733,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8a11db3348b11c93378aa,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff873d1b3348b11c9337716,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff873d1b3348b11c9337716,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff873d1b3348b11c9337716,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8ce8504929111f6e913cb,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8d634b3348b11c9337aa4,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8da28b3348b11c9337ac6,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8c330b3348b11c9337a04,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff873ddb3348b11c9337733,True,01-08-2021,01-08-2021,consumer,Email,WI
5ff8da7eb3348b11c9337b72,True,01-08-2021,01-08-2021,consumer,Email,WI
5ffcb47d04929111f6e9256c,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8ff9b3348b11c9338896,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8f9704929111f6e922bf,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc9001b3348b11c93388b6,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8ff9b3348b11c9338896,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8f9704929111f6e922bf,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8f9704929111f6e922bf,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8ff9b3348b11c9338896,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8ff9b3348b11c9338896,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffcb4bc04929111f6e92608,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc9d87b3348b11c9338920,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8f9704929111f6e922bf,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc9d87b3348b11c9338920,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffcb47d04929111f6e9256c,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc9d87b3348b11c9338920,True,01-11-2021,01-11-2021,consumer,Email,WI
