_id,barcode,category,categoryCode,cpg,name,topBrand,brandCode,cpg_id,cpg_ref
5ec2dc5fbe37ce5234ec36b8,511111114628,Health & Wellness,HEALTHY_AND_WELLNESS,"{'$ref': 'Cogs', '$id': {'$oid': '5d9b4f591dda2c6225a284aa'}}",AFRINÂ® NASAL SPRAY,0.0,AFRINÂ® NASAL SPRAY,5d9b4f591dda2c6225a284aa,Cogs
5daf4867a60b87376833e35f,511111605980,Dairy,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",GoodbellyÂ® Probiotics,,GOODBELLY,5332f5f3e4b03c9a25efd0ae,Cogs
592486bee410d61fcea3d134,511111200758,Personal Care,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",NEXXUS,0.0,NEXXUS,5332f5f6e4b03c9a25efd0b4,Cogs
5a8c3226e4b07f0a2dac8942,511111004127,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",V8,0.0,V8,5a734034e4b0d58f376be874,Cogs
55b630a4e4b0d8e685c1421c,511111502654,,,"{'$ref': 'Cpgs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",Dr. Pepper,,,55b62995e4b0d8e685c14213,Cpgs
5a5d2ac5e4b06ba572cf24a7,511111300090,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",Colman's,,COLMAN'S,53e10d6368abd3c7065097cc,Cogs
5a8c344ae4b0ccf165fac9e5,511111704140,Condiments & Sauces,,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",Prego,0.0,PREGO,5a734034e4b0d58f376be874,Cogs
5fc54c0bbe37ce1911dbb3b4,511111517887,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fc54c0abe37ce1911dbb3b1'}}",test brand @1606765578985,0.0,TEST BRANDCODE @1606765578985,5fc54c0abe37ce1911dbb3b1,Cogs
5e710e03ee7f2d0b35b2a194,511111914105,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,"{'$ref': 'Cogs', '$id': {'$oid': '5e5ea9cc9c50da1291a6d074'}}",BRUMMEL & BROWN,,BRUMMEL & BROWN,5e5ea9cc9c50da1291a6d074,Cogs
5daf43251dda2c3e1416ae95,511111705956,Dairy,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",YQ by YoplaitÂ®,,YQ YOPLAIT,5332f5f3e4b03c9a25efd0ae,Cogs
5d66d597a3a018093ab34726,511111805298,Magazines,,"{'$ref': 'Cogs', '$id': {'$oid': '5d5d4fd16d5f3b23d1bc7905'}}",Diabetic Living Magazine,,511111805298,5d5d4fd16d5f3b23d1bc7905,Cogs
5d658ffa6d5f3b23d1bc7914,511111205227,,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",Diabetic Living Magazine,,,53e10d6368abd3c7065097cc,Cogs
5fa98944be37ce239d107102,511111117285,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fa98944be37ce239d1070ff'}}",test brand @1604946244833,0.0,TEST BRANDCODE @1604946244833,5fa98944be37ce239d1070ff,Cogs
5da6076f1dda2c3e1416ae88,511111205661,Health & Wellness,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",ALKA SELTZERÂ® PLUS COLD AND FLU TAB/ CAPS/ GEL,,ALKA SELTZER COLD AND FLU TAB/ CAPS/ GEL,53e10d6368abd3c7065097cc,Cogs
5f19e055be37ce33f74a1673,511111115151,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",test brand @1595531349206,,TEST BRANDCODE @1595531349206,5332fa12e4b03c9a25efd1e7,Cogs
5da60915a60b87376833e355,511111905806,Health & Wellness,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",ONE A DAYÂ® HEART HEALTH,,511111905806,53e10d6368abd3c7065097cc,Cogs
5c4637ba87ff35681e840d57,511111605058,Dairy,,"{'$ref': 'Cogs', '$id': {'$oid': '5c45f8b087ff3552f950f026'}}",Brand2,1.0,09090909090,5c45f8b087ff3552f950f026,Cogs
5332f7afe4b03c9a25efd13e,511111003472,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",Bud Light Lime,,,5332f7a7e4b03c9a25efd134,Cpgs
